"time","symbol","CCI"
2020-12-10,"jd",85.4274
2020-12-09,"jd",89.5469
2020-12-08,"jd",91.6582
2020-12-07,"jd",99.5609
2020-12-04,"jd",109.2069
2020-12-03,"jd",112.3536
2020-12-02,"jd",103.5617
2020-12-01,"jd",111.5565
2020-11-30,"jd",114.077
2020-11-27,"jd",131.746
2020-11-25,"jd",127.8795
2020-11-24,"jd",136.4758
2020-11-23,"jd",129.4248
2020-11-20,"jd",127.5246
2020-11-19,"jd",122.5585
2020-11-18,"jd",125.1702
2020-11-17,"jd",130.8979
2020-11-16,"jd",129.7463
2020-11-13,"jd",153.325
2020-11-12,"jd",137.4673
2020-11-11,"jd",110.6389
2020-11-10,"jd",106.0268
2020-11-09,"jd",140.0107
2020-11-06,"jd",165.7913
2020-11-05,"jd",160.5965
2020-11-04,"jd",151.493
2020-11-03,"jd",118.1514
2020-11-02,"jd",122.0518
2020-10-30,"jd",120.92
2020-10-29,"jd",130.2971
2020-10-28,"jd",119.8922
2020-10-27,"jd",130.8187
2020-10-26,"jd",125.2337
2020-10-23,"jd",124.2657
2020-10-22,"jd",130.914
2020-10-21,"jd",139.5831
2020-10-20,"jd",137.562
2020-10-19,"jd",133.0283
2020-10-16,"jd",136.2967
2020-10-15,"jd",128.9472
2020-10-14,"jd",139.0247
2020-10-13,"jd",149.3529
2020-10-12,"jd",155.7285
2020-10-09,"jd",134.9928
2020-10-08,"jd",128.2765
2020-10-07,"jd",132.2923
2020-10-06,"jd",127.3885
2020-10-05,"jd",125.4001
2020-10-02,"jd",127.7622
2020-10-01,"jd",138.4204
2020-09-30,"jd",134.8735
2020-09-29,"jd",126.1598
2020-09-28,"jd",127.4814
2020-09-25,"jd",120.8186
2020-09-24,"jd",118.2212
2020-09-23,"jd",131.0222
2020-09-22,"jd",131.1715
2020-09-21,"jd",128.5593
2020-09-18,"jd",132.2464
2020-09-17,"jd",130.7547
2020-09-16,"jd",142.9438
2020-09-15,"jd",154.3366
2020-09-14,"jd",150.0601
2020-09-11,"jd",143.1568
2020-09-10,"jd",150.2538
2020-09-09,"jd",160.9914
2020-09-08,"jd",161.8435
2020-09-04,"jd",177.6312
2020-09-03,"jd",182.0448
2020-09-02,"jd",215.5812
2020-09-01,"jd",206.1132
2020-08-31,"jd",196.009
2020-08-28,"jd",204.0453
2020-08-27,"jd",206.7409
2020-08-26,"jd",216.4072
2020-08-25,"jd",208.0487
2020-08-24,"jd",197.7604
2020-08-21,"jd",193.0238
2020-08-20,"jd",185.0536
2020-08-19,"jd",183.3873
2020-08-18,"jd",170.0827
2020-08-17,"jd",141.8972
2020-08-14,"jd",118.1262
2020-08-13,"jd",125.7084
2020-08-12,"jd",127.4179
2020-08-11,"jd",121.0158
2020-08-10,"jd",121.752
2020-08-07,"jd",129.2754
2020-08-06,"jd",150.2572
2020-08-05,"jd",156.2256
2020-08-04,"jd",155.2023
2020-08-03,"jd",158.681
2020-07-31,"jd",152.2414
2020-07-30,"jd",145.0941
2020-07-29,"jd",150.4968
2020-07-28,"jd",147.719
2020-07-27,"jd",152.4416
2020-07-24,"jd",139.9711
2020-07-23,"jd",147.0854
2020-07-22,"jd",156.2179
2020-07-21,"jd",170.8828
2020-07-20,"jd",174.1135
2020-07-17,"jd",169.2717
2020-07-16,"jd",163.0336
2020-07-15,"jd",177.4458
2020-07-14,"jd",172.8756
2020-07-13,"jd",194.3138
2020-07-10,"jd",215.6582
2020-07-09,"jd",236.7663
2020-07-08,"jd",217.7067
2020-07-07,"jd",198.3229
2020-07-06,"jd",212.5222
2020-07-02,"jd",198.7969
2020-07-01,"jd",190.626
2020-06-30,"jd",193.7147
2020-06-29,"jd",189.0851
2020-06-26,"jd",198.0813
2020-06-25,"jd",203.0249
2020-06-24,"jd",204.7384
2020-06-23,"jd",209.2031
2020-06-22,"jd",200.5371
2020-06-19,"jd",210.9746
2020-06-18,"jd",225.7036
2020-06-17,"jd",244.7153
2020-06-16,"jd",231.6942
2020-06-15,"jd",218.9427
2020-06-12,"jd",214.4001
2020-06-11,"jd",216.361
2020-06-10,"jd",250.5392
2020-06-09,"jd",238.1422
2020-06-08,"jd",245.3271
2020-06-05,"jd",246.1986
2020-06-04,"jd",224.5673
2020-06-03,"jd",229.4564
2020-06-02,"jd",219.3896
2020-06-01,"jd",208.4752
2020-05-29,"jd",198.3718
2020-05-28,"jd",178.2538
2020-05-27,"jd",184.4082
2020-05-26,"jd",204.281
2020-05-22,"jd",169.6809
2020-05-21,"jd",203.6581
2020-05-20,"jd",220.1702
2020-05-19,"jd",240.8666
2020-05-18,"jd",236.7142
2020-05-15,"jd",186.6877
2020-05-14,"jd",162.1418
2020-05-13,"jd",163.2778
2020-05-12,"jd",157.554
2020-05-11,"jd",154.4617
2020-05-08,"jd",149.0401
2020-05-07,"jd",124.5916
2020-05-06,"jd",109.3714
2020-05-05,"jd",112.1176
2020-05-04,"jd",93.0547
2020-05-01,"jd",86.6331
2020-04-30,"jd",113.7914
2020-04-29,"jd",127.4187
2020-04-28,"jd",131.9705
2020-04-27,"jd",150.9698
2020-04-24,"jd",145.9874
2020-04-23,"jd",150.0465
2020-04-22,"jd",146.7961
2020-04-21,"jd",129.1229
2020-04-20,"jd",166.4249
2020-04-17,"jd",181.1363
