"time","symbol","RSI"
2020-12-02,"jd",56.4175
2020-12-01,"jd",56.6523
2020-11-30,"jd",56.6505
2020-11-27,"jd",57.6345
2020-11-25,"jd",57.4206
2020-11-24,"jd",57.8119
2020-11-23,"jd",57.4014
2020-11-20,"jd",57.4457
2020-11-19,"jd",57.1348
2020-11-18,"jd",57.1861
2020-11-17,"jd",57.362
2020-11-16,"jd",57.0498
2020-11-13,"jd",58.7569
2020-11-12,"jd",57.7044
2020-11-11,"jd",57.0268
2020-11-10,"jd",56.486
2020-11-09,"jd",57.7382
2020-11-06,"jd",59.8452
2020-11-05,"jd",59.6724
2020-11-04,"jd",59.2304
2020-11-03,"jd",57.8971
2020-11-02,"jd",57.8204
2020-10-30,"jd",57.6544
2020-10-29,"jd",58.0866
2020-10-28,"jd",57.4689
2020-10-27,"jd",58.3153
2020-10-26,"jd",57.979
2020-10-23,"jd",57.9643
2020-10-22,"jd",57.958
2020-10-21,"jd",58.3407
2020-10-20,"jd",58.3282
2020-10-19,"jd",57.9197
2020-10-16,"jd",58.1832
2020-10-15,"jd",57.9173
2020-10-14,"jd",58.1636
2020-10-13,"jd",58.604
2020-10-12,"jd",59.1084
2020-10-09,"jd",58.1592
2020-10-08,"jd",57.8064
2020-10-07,"jd",57.7999
2020-10-06,"jd",57.4905
2020-10-05,"jd",57.4275
2020-10-02,"jd",57.3624
2020-10-01,"jd",58.0895
2020-09-30,"jd",57.883
2020-09-29,"jd",57.3496
2020-09-28,"jd",57.6282
2020-09-25,"jd",57.3143
2020-09-24,"jd",56.8808
2020-09-23,"jd",57.4374
2020-09-22,"jd",57.5602
2020-09-21,"jd",57.5991
2020-09-18,"jd",57.4606
2020-09-17,"jd",57.432
2020-09-16,"jd",57.6452
2020-09-15,"jd",58.2157
2020-09-14,"jd",58.1272
2020-09-11,"jd",57.602
2020-09-10,"jd",57.7066
2020-09-09,"jd",58.51
2020-09-08,"jd",58.2994
2020-09-04,"jd",59.4702
2020-09-03,"jd",59.2635
2020-09-02,"jd",60.5994
2020-09-01,"jd",60.4462
2020-08-31,"jd",59.6108
2020-08-28,"jd",60.0434
2020-08-27,"jd",59.8986
2020-08-26,"jd",60.2542
2020-08-25,"jd",59.9453
2020-08-24,"jd",59.323
2020-08-21,"jd",59.0508
2020-08-20,"jd",58.813
2020-08-19,"jd",58.4949
2020-08-18,"jd",57.9706
2020-08-17,"jd",57.1679
2020-08-14,"jd",55.9343
2020-08-13,"jd",56.0911
2020-08-12,"jd",56.2087
2020-08-11,"jd",55.7678
2020-08-10,"jd",55.8687
2020-08-07,"jd",56.0542
2020-08-06,"jd",56.9955
2020-08-05,"jd",57.2001
2020-08-04,"jd",56.9607
2020-08-03,"jd",56.9506
2020-07-31,"jd",56.7641
2020-07-30,"jd",56.3829
2020-07-29,"jd",56.482
2020-07-28,"jd",56.2012
2020-07-27,"jd",56.6276
2020-07-24,"jd",56.1399
2020-07-23,"jd",56.0468
2020-07-22,"jd",56.4845
2020-07-21,"jd",56.7418
2020-07-20,"jd",57.0068
2020-07-17,"jd",56.6832
2020-07-16,"jd",56.5756
2020-07-15,"jd",56.8566
2020-07-14,"jd",56.7497
2020-07-13,"jd",56.8064
2020-07-10,"jd",57.9268
2020-07-09,"jd",58.5342
2020-07-08,"jd",58.0389
2020-07-07,"jd",57.0832
2020-07-06,"jd",57.6359
2020-07-02,"jd",57.1494
2020-07-01,"jd",56.7784
2020-06-30,"jd",56.8418
2020-06-29,"jd",56.6813
2020-06-26,"jd",56.7058
2020-06-25,"jd",57.0067
2020-06-24,"jd",56.8291
2020-06-23,"jd",56.857
2020-06-22,"jd",56.6372
2020-06-19,"jd",56.5177
2020-06-18,"jd",57.268
2020-06-17,"jd",57.7005
2020-06-16,"jd",57.4304
2020-06-15,"jd",57.041
2020-06-12,"jd",56.6328
2020-06-11,"jd",56.4295
2020-06-10,"jd",57.6703
2020-06-09,"jd",57.161
2020-06-08,"jd",57.2887
2020-06-05,"jd",57.2534
2020-06-04,"jd",56.5613
2020-06-03,"jd",56.6373
2020-06-02,"jd",56.3285
2020-06-01,"jd",56.079
2020-05-29,"jd",55.9665
2020-05-28,"jd",55.0178
2020-05-27,"jd",55.427
2020-05-26,"jd",55.5858
2020-05-22,"jd",54.7951
2020-05-21,"jd",55.7721
2020-05-20,"jd",56.4244
2020-05-19,"jd",56.4098
2020-05-18,"jd",56.8908
2020-05-15,"jd",55.4995
2020-05-14,"jd",54.9149
2020-05-13,"jd",54.5534
2020-05-12,"jd",54.3062
2020-05-11,"jd",54.2076
2020-05-08,"jd",54.2302
2020-05-07,"jd",53.5843
2020-05-06,"jd",53.1084
2020-05-05,"jd",53.0494
2020-05-04,"jd",52.7633
2020-05-01,"jd",52.4752
2020-04-30,"jd",53.1125
2020-04-29,"jd",53.5792
2020-04-28,"jd",53.3291
2020-04-27,"jd",54.0922
2020-04-24,"jd",53.9183
2020-04-23,"jd",53.8823
2020-04-22,"jd",53.9013
2020-04-21,"jd",53.3257
2020-04-20,"jd",54.0782
2020-04-17,"jd",54.4488
2020-04-16,"jd",54.9815
2020-04-15,"jd",54.02
2020-04-14,"jd",53.7693
2020-04-13,"jd",53.4003
2020-04-09,"jd",53.1869
2020-04-08,"jd",52.8438
2020-04-07,"jd",53.1649
2020-04-06,"jd",53.016
2020-04-03,"jd",52.4313
2020-04-02,"jd",52.5052
2020-04-01,"jd",52.8292
2020-03-31,"jd",52.6857
2020-03-30,"jd",52.6472
2020-03-27,"jd",52.5636
2020-03-26,"jd",53.2898
2020-03-25,"jd",53.0608
2020-03-24,"jd",52.9426
2020-03-23,"jd",52.095
2020-03-20,"jd",51.7528
2020-03-19,"jd",51.5898
2020-03-18,"jd",51.7793
2020-03-17,"jd",52.0316
2020-03-16,"jd",50.8924
2020-03-13,"jd",52.6817
2020-03-12,"jd",52.1386
2020-03-11,"jd",53.517
2020-03-10,"jd",53.6335
2020-03-09,"jd",52.9197
2020-03-06,"jd",53.9026
2020-03-05,"jd",55.0142
2020-03-04,"jd",54.7462
2020-03-03,"jd",53.8012
2020-03-02,"jd",54.6541
2020-02-28,"jd",52.7125
2020-02-27,"jd",52.6662
2020-02-26,"jd",53.385
2020-02-25,"jd",52.9308
2020-02-24,"jd",53.1838
2020-02-21,"jd",53.6897
2020-02-20,"jd",54.2077
2020-02-19,"jd",54.939
2020-02-18,"jd",54.6783
2020-02-14,"jd",54.5329
2020-02-13,"jd",54.5528
2020-02-12,"jd",54.3996
2020-02-11,"jd",54.0413
2020-02-10,"jd",53.7554
2020-02-07,"jd",53.709
2020-02-06,"jd",53.8996
2020-02-05,"jd",53.7153
2020-02-04,"jd",53.9151
2020-02-03,"jd",53.4315
2020-01-31,"jd",52.7842
2020-01-30,"jd",53.1738
2020-01-29,"jd",53.4931
2020-01-28,"jd",53.3945
2020-01-27,"jd",52.8501
2020-01-24,"jd",53.7929
2020-01-23,"jd",54.4131
2020-01-22,"jd",54.5156
2020-01-21,"jd",54.1243
2020-01-17,"jd",54.2724
2020-01-16,"jd",53.9308
2020-01-15,"jd",54.0427
2020-01-14,"jd",54.3025
2020-01-13,"jd",54.3126
2020-01-10,"jd",53.7952
2020-01-09,"jd",53.7038
2020-01-08,"jd",53.4423
2020-01-07,"jd",53.4523
2020-01-06,"jd",53.313
2020-01-03,"jd",53.3087
2020-01-02,"jd",53.196
2021-08-13,"baba",47.5837
2021-08-12,"baba",47.7717
2021-08-11,"baba",47.9702
2021-08-10,"baba",48.0242
2021-08-09,"baba",47.9921
2021-08-06,"baba",48.0623
2021-08-05,"baba",48.2404
2021-08-04,"baba",48.3285
2021-08-03,"baba",48.1088
2021-08-02,"baba",48.275
2021-07-30,"baba",47.9515
2021-07-29,"baba",48.0951
2021-07-28,"baba",47.9942
2021-07-27,"baba",47.3328
2021-07-26,"baba",47.6782
2021-07-23,"baba",48.594
2021-07-22,"baba",49.0709
2021-07-21,"baba",48.8741
2021-07-20,"baba",48.8415
2021-07-19,"baba",48.7302
2021-07-16,"baba",48.9314
2021-07-15,"baba",49.0997
2021-07-14,"baba",48.8854
2021-07-13,"baba",48.7543
2021-07-12,"baba",48.4882
2021-07-09,"baba",48.5168
2021-07-08,"baba",48.1134
2021-07-07,"baba",48.6207
2021-07-06,"baba",48.847
2021-07-02,"baba",49.2366
2021-07-01,"baba",49.4998
2021-06-30,"baba",49.8155
2021-06-29,"baba",49.9874
2021-06-28,"baba",49.9325
2021-06-25,"baba",49.9267
2021-06-24,"baba",49.2699
2021-06-23,"baba",49.0386
2021-06-22,"baba",48.805
2021-06-21,"baba",48.7879
2021-06-18,"baba",48.8656
2021-06-17,"baba",48.8198
2021-06-16,"baba",48.6708
2021-06-15,"baba",48.7166
2021-06-14,"baba",48.9569
2021-06-11,"baba",48.808
2021-06-10,"baba",48.8962
2021-06-09,"baba",48.9116
2021-06-08,"baba",49.0652
2021-06-07,"baba",49.1315
2021-06-04,"baba",49.2616
2021-06-03,"baba",49.1364
2021-06-02,"baba",49.2922
2021-06-01,"baba",49.2853
2021-05-28,"baba",48.9384
2021-05-27,"baba",48.8614
2021-05-26,"baba",48.8011
2021-05-25,"baba",48.7603
2021-05-24,"baba",48.7172
2021-05-21,"baba",48.7538
2021-05-20,"baba",49.1058
2021-05-19,"baba",48.83
2021-05-18,"baba",48.8999
2021-05-17,"baba",48.7346
2021-05-14,"baba",48.6393
2021-05-13,"baba",48.4268
2021-05-12,"baba",49.2437
2021-05-11,"baba",49.3324
2021-05-10,"baba",49.2187
2021-05-07,"baba",49.5645
2021-05-06,"baba",49.6312
2021-05-05,"baba",49.6527
2021-05-04,"baba",49.7195
2021-05-03,"baba",49.8871
2021-04-30,"baba",49.9014
2021-04-29,"baba",50.0936
2021-04-28,"baba",50.245
2021-04-27,"baba",50.1978
2021-04-26,"baba",50.008
2021-04-23,"baba",49.9715
2021-04-22,"baba",49.8108
2021-04-21,"baba",49.816
2021-04-20,"baba",49.8416
2021-04-19,"baba",50.1264
2021-04-16,"baba",50.3549
2021-04-15,"baba",50.3783
2021-04-14,"baba",50.3864
2021-04-13,"baba",50.5409
2021-04-12,"baba",50.6641
2021-04-09,"baba",49.4675
2021-04-08,"baba",49.7535
2021-04-07,"baba",49.5876
2021-04-06,"baba",49.8869
2021-04-05,"baba",49.5771
2021-04-01,"baba",49.5217
2021-03-31,"baba",49.6585
2021-03-30,"baba",49.8041
2021-03-29,"baba",49.955
2021-03-26,"baba",49.6876
2021-03-25,"baba",49.4223
2021-03-24,"baba",49.8179
2021-03-23,"baba",50.289
2021-03-22,"baba",50.2571
2021-03-19,"baba",50.4132
2021-03-18,"baba",50.2196
2021-03-17,"baba",50.0412
2021-03-16,"baba",49.6688
2021-03-15,"baba",49.8621
2021-03-12,"baba",49.9539
2021-03-11,"baba",50.4732
2021-03-10,"baba",50.0975
2021-03-09,"baba",50.3218
2021-03-08,"baba",49.6528
2021-03-05,"baba",50.0748
2021-03-04,"baba",49.8752
2021-03-03,"baba",50.2151
2021-03-02,"baba",50.1066
