"time","symbol","AD"
2021-01-07,"jd",26631296.3631
2021-01-06,"jd",28967219.0158
2021-01-05,"jd",41521284.5188
2021-01-04,"jd",15856573.9321
2020-12-31,"jd",17633933.0218
2020-12-30,"jd",17599578.4885
2020-12-29,"jd",5907865.5188
2020-12-28,"jd",-3039909.273
2020-12-24,"jd",2568027.0336
2020-12-23,"jd",5275035.0252
2020-12-22,"jd",8362009.0865
2020-12-21,"jd",1244094.9907
2020-12-18,"jd",-1591896.2791
2020-12-17,"jd",3256809.5125
2020-12-16,"jd",1156412.7683
2020-12-15,"jd",-5597231.2933
2020-12-14,"jd",-2116014.7639
2020-12-11,"jd",2973126.1576
2020-12-10,"jd",10545086.9816
2020-12-09,"jd",8153448.5165
2020-12-08,"jd",17047676.5165
2020-12-07,"jd",26733705.8631
2020-12-04,"jd",33776741.9742
2020-12-03,"jd",39304908.8553
2020-12-02,"jd",37559965.28
2020-12-01,"jd",31254377.6923
2020-11-30,"jd",32825272.5687
2020-11-27,"jd",36595735.4989
2020-11-25,"jd",33532008.2623
2020-11-24,"jd",30028555.0356
2020-11-23,"jd",25086612.3622
2020-11-20,"jd",26599356.4402
2020-11-19,"jd",17436082.2229
2020-11-18,"jd",10530035.6029
2020-11-17,"jd",6609401.2483
2020-11-16,"jd",3906273.9633
2020-11-13,"jd",22712387.0312
2020-11-12,"jd",2639360.5069
2020-11-11,"jd",18301260.835
2020-11-10,"jd",3709480.8912
2020-11-09,"jd",9382839.0985
2020-11-06,"jd",26044342.1434
2020-11-05,"jd",19312452.1972
2020-11-04,"jd",6625763.5748
2020-11-03,"jd",-13654023.1433
2020-11-02,"jd",-25592532.7197
2020-10-30,"jd",-29018220.391
2020-10-29,"jd",-30892239.1479
2020-10-28,"jd",-31394399.186
2020-10-27,"jd",-25234205.5559
2020-10-26,"jd",-28613264.3947
2020-10-23,"jd",-30670245.8109
2020-10-22,"jd",-37509080.8109
2020-10-21,"jd",-34608704.9709
2020-10-20,"jd",-29905834.0811
2020-10-19,"jd",-32293931.3827
2020-10-16,"jd",-26837854.6885
2020-10-15,"jd",-27647604.6502
2020-10-14,"jd",-37318395.8169
2020-10-13,"jd",-34053208.1853
2020-10-12,"jd",-27026167.9912
2020-10-09,"jd",-34042681.0916
2020-10-08,"jd",-39855558.5511
2020-10-07,"jd",-44353426.753
2020-10-06,"jd",-38386899.7322
2020-10-05,"jd",-31815730.0263
2020-10-02,"jd",-30779645.2725
2020-10-01,"jd",-24477207.3566
2020-09-30,"jd",-27727680.8271
2020-09-29,"jd",-30446930.9529
2020-09-28,"jd",-27517788.2059
2020-09-25,"jd",-35763355.2059
2020-09-24,"jd",-44547638.7147
2020-09-23,"jd",-37021859.1271
2020-09-22,"jd",-30648967.7521
2020-09-21,"jd",-32324007.719
2020-09-18,"jd",-41387528.588
2020-09-17,"jd",-41880360.1909
2020-09-16,"jd",-49918222.8092
